Time(s),Input(v),Output(v),Output(m),Output(m/s),,
2.2,2.493,0,0,0,,
2.3,2.493,0,0,0,,
2.4,2.483,0,0,0,,
2.5,2.493,0,0,0,,
2.6,2.483,0,0,0,,
2.7,2.493,0,0,0,,
2.8,2.483,0,0,0,,
2.9,2.483,0,0,0,,
3,2.493,0,0,0,,
3.1,2.483,0,0,0,,
3.2,2.493,0,0,0,,
3.3,2.493,0,0,0,,
3.4,2.493,0,0,0,,
3.5,2.483,0,0,0,,
3.6,2.493,0,0,0,,
3.7,2.483,0,0,0,,
3.8,2.493,0,0,0,,
3.9,2.493,0,0,0,,
4,2.483,0,0,0,,
4.1,2.483,0,0,0,,
4.2,2.493,0,0,0,,
4.3,2.483,0,0,0,,
4.4,2.493,0,0,0,,
4.5,2.493,0,0,0,,
4.6,2.493,0,0,0,,
4.7,2.493,0,0,0,,
4.8,2.483,0,0,0,,
4.9,2.493,0,0,0,,
5,2.493,0,0,0,,
5.1,2.483,0,0,0,,
5.2,2.493,0,0,0,,
5.3,2.493,0,0,0,,
5.4,2.493,0,0,0,,
5.5,2.493,0,0,0,,
5.6,2.493,0,0,0,,
5.7,2.483,0,0,0,,
5.8,2.493,0,0,0,,
5.9,2.483,0,0,0,,
6,2.483,0,0,0,,
6.1,2.483,0,0,0,,
6.2,2.483,0,0,0,,
6.3,2.483,0,0,0,,
6.4,2.493,0,0,0,,
6.5,2.483,0,0,0,,
6.6,2.483,0,0,0,,
6.7,2.493,0,0,0,,
6.8,2.493,0,0,0,,
6.9,2.483,0,0,0,,
7,2.493,0,0,0,,
7.1,2.483,0,0,0,,
7.2,2.483,0,0,0,,
7.3,2.483,0,0,0,,
7.4,2.483,0,0,0,,
7.5,2.493,0,0,0,,
7.6,2.483,0,0,0,,
7.7,2.493,0,0,0,,
7.8,2.483,0,0,0,,
7.9,2.483,0,0,0,,
8,2.493,0,0,0,,
8.1,2.493,0,0,0,,
8.2,2.493,0,0,0,,
8.3,2.493,0,0,0,,
8.4,2.483,0,0,0,,
8.5,2.493,0,0,0,,
8.6,2.483,0,0,0,,
8.7,2.483,0,0,0,,
8.8,2.483,0,0,0,,
8.9,2.493,0,0,0,,
9,2.493,0,0,0,,
9.1,2.493,0,0,0,,
9.2,2.493,0,0,0,,
9.3,2.493,0,0,0,,
9.4,2.493,0,0,0,,
9.5,2.483,0,0,0,,
9.6,2.493,0,0,0,,
9.7,2.493,0,0,0,,
9.8,2.493,0,0,0,,
9.9,2.493,0,0,0,,
10,2.483,0,0,0,,
10.1,3.278,0,0,0,,
10.2,5,0,0,0.44,,
10.3,5,0.042,0.044,0.87,,
10.4,5,0.125,0.131,1.31,,
10.5,5,0.249,0.262,1.74,,
10.6,5,0.414,0.436,2.16,,
10.7,5,0.62,0.652,2.59,,
10.8,5,0.865,0.911,3.01,,
10.9,5,1.151,1.212,3.42,,
11,5,1.476,1.554,3.84,,
11.1,5,1.841,1.938,4.25,,
11.2,5,2.245,2.363,4.66,,
11.3,5,2.688,2.829,5.07,,
11.4,5,3.169,3.336,5.46,,
11.5,5,3.688,3.882,5.87,,
11.6,5,4.246,4.469,6.27,,
11.7,5,4.841,5.096,6.65,,
11.8,5,5.473,5.761,7.05,,
11.9,5,6.143,6.466,7.44,,
12,5,6.85,7.21,7.83,,
12.1,5,7.593,7.993,8.2,,
12.2,5,8.373,8.813,8.59,,
12.3,5,9.189,9.672,8.97,,
12.4,5,10,10.569,9.34,,
12.5,5,10,11.503,9.71,,
12.6,5,10,12.474,10.08,,
12.7,5,10,13.482,10.45,,
12.8,5,10,14.527,10.81,,
12.9,5,10,15.608,11.18,,
13,5,10,16.726,11.53,,
13.1,5,10,17.879,11.89,,
13.2,5,10,19.068,12.25,,
13.3,5,10,20.293,12.59,,
13.4,5,10,21.552,12.95,,
13.5,5,10,22.847,13.29,,
13.6,5,10,24.176,13.63,,
13.7,5,10,25.539,13.98,,
13.8,5,10,26.937,14.32,,
13.9,5,10,28.369,14.65,,
14,5,10,29.834,14.99,,
14.1,5,10,31.333,15.31,,
14.2,5,10,32.864,15.65,,
14.3,5,10,34.429,15.98,,
14.4,5,10,36.027,16.3,,
14.5,5,10,37.657,16.62,,
14.6,5,10,39.319,16.94,,
14.7,5,10,41.013,17.26,,
14.8,5,10,42.739,17.58,,
14.9,5,10,44.497,17.89,,
15,5,10,46.286,18.2,,
15.1,5,10,48.106,18.51,,
15.2,5,10,49.957,18.81,,
15.3,5,10,51.838,19.12,,
15.4,5,10,53.75,19.43,,
15.5,5,10,55.693,19.72,,
15.6,5,10,57.665,20.02,,
15.7,5,10,59.667,20.32,,
15.8,5,10,61.699,20.61,,
15.9,5,10,63.76,20.9,,
16,5,10,65.85,21.19,,
16.1,5,10,67.969,21.48,,
16.2,5,10,70.117,21.76,,
16.3,5,10,72.293,22.05,,
16.4,5,10,74.498,22.33,,
16.5,5,10,76.731,22.61,,
16.6,5,10,78.992,22.89,,
16.7,5,10,81.281,23.16,,
16.8,5,10,83.597,23.43,,
16.9,5,10,85.94,23.71,,
17,5,10,88.311,23.98,,
17.1,5,10,90.709,24.24,,
17.2,5,10,93.133,24.51,,
17.3,5,10,95.584,24.77,,
17.4,5,10,98.061,25.04,,
17.5,5,10,100.565,25.3,,
17.6,5,10,103.095,25.55,,
17.7,5,10,105.65,25.81,,
17.8,5,10,108.231,26.06,,
17.9,5,10,110.837,26.32,,
18,5,10,113.469,26.57,,
18.1,5,10,116.126,26.82,,
18.2,5,10,118.808,27.06,,
18.3,5,10,121.514,27.31,,
18.4,5,10,124.245,27.55,,
18.5,5,10,127,27.8,,
18.6,5,10,129.78,28.04,,
18.7,5,10,132.584,28.27,,
18.8,5,10,135.411,28.51,,
18.9,5,10,138.262,28.75,,
19,5,10,141.137,28.98,,
19.1,5,10,144.035,29.21,,
19.2,5,10,146.956,29.44,,
19.3,5,10,149.9,29.68,,
19.4,5,10,152.868,29.89,,
19.5,5,10,155.857,30.13,,
19.6,5,10,158.87,30.34,,
19.7,5,10,161.904,30.57,,
19.8,5,10,164.961,30.79,,
19.9,5,10,168.04,31.01,,
20,5,10,171.141,31.23,,
20.1,5,10,174.264,31.44,,
20.2,5,10,177.408,31.66,,
20.3,5,10,180.574,31.86,,
20.4,5,10,183.76,32.08,,
20.5,5,10,186.968,32.29,,
20.6,5,10,190.197,32.5,,
20.7,5,10,193.447,32.71,,
20.8,5,10,196.718,32.91,,
20.9,5,10,200.009,33.11,,
21,5,10,203.32,33.32,,
21.1,5,10,206.652,33.51,,
21.2,5,10,210.003,33.72,,
21.3,5,10,213.375,33.91,,
21.4,5,10,216.766,34.12,,
21.5,5,10,220.178,34.3,,
21.6,5,10,223.608,34.5,,
21.7,5,10,227.058,34.69,,
21.8,5,10,230.527,34.89,,
21.9,5,10,234.016,35.07,,
22,5,10,237.523,35.26,,
22.1,5,10,241.049,35.45,,
22.2,5,10,244.594,35.64,,
22.3,5,10,248.158,35.81,,
22.4,5,10,251.739,36.01,,
22.5,5,10,255.34,36.18,,
22.6,5,10,258.958,36.36,,
22.7,5,10,262.594,36.55,,
22.8,5,10,266.249,36.72,,
22.9,5,10,269.921,36.89,,
23,5,10,273.61,37.08,,
23.1,5,10,277.318,37.24,,
23.2,5,10,281.042,37.42,,
23.3,5,10,284.784,37.59,,
23.4,5,10,288.543,37.76,,
23.5,5,10,292.319,37.93,,
23.6,5,10,296.112,38.1,,
23.7,5,10,299.922,38.27,,
23.8,5,10,303.749,38.43,,
23.9,5,10,307.592,38.59,,0
24,5,10,311.451,38.76,,0
24.1,5,10,315.327,38.92,,
24.2,5,10,319.219,39.08,,
24.3,5,10,323.127,39.24,,
24.4,5,10,327.051,39.4,,
24.5,5,10,330.991,39.56,,
24.6,5,10,334.947,39.71,,
24.7,5,10,338.918,39.87,,
24.8,5,10,342.905,40.02,,
24.9,5,10,346.907,40.18,,
25,5,10,350.925,40.32,,
25.1,5,10,354.957,40.48,,
25.2,5,10,359.005,40.63,,
25.3,5,10,363.068,40.78,,
25.4,5,10,367.146,40.92,,
25.5,5,10,371.238,41.07,,
25.6,5,10,375.345,41.22,,
25.7,5,10,379.467,41.36,,
25.8,5,10,383.603,41.5,,
25.9,5,10,387.753,41.65,,
26,5,10,391.918,41.78,,
26.1,5,10,396.096,41.93,,
26.2,5,10,400.289,42.07,,
26.3,5,10,404.496,42.2,,
26.4,5,10,408.716,42.35,,
26.5,5,10,412.951,42.48,,
26.6,5,10,417.199,42.61,,
26.7,5,10,421.46,42.75,,
26.8,5,10,425.735,42.88,,
26.9,5,10,430.023,43.02,,
27,5,10,434.325,43.14,,
27.1,5,10,438.639,43.28,,
27.2,5,10,442.967,43.41,,
27.3,5,10,447.308,43.53,,
27.4,5,10,451.661,43.67,,
27.5,5,10,456.028,43.79,,
27.6,5,10,460.407,43.92,,
27.7,5,10,464.799,44.04,,
27.8,5,10,469.203,44.16,,
27.9,5,10,473.619,44.29,,
28,5,10,478.048,44.42,,
28.1,5,10,482.49,44.53,,
